Using seed: 1485003077477
Generating a Binary maze of 8 by 8 by 8
Ensuring solution
Solution took 1.13688 seconds and has a distance of 41
(x:-4)(y:-4)(z:-2) to (x:-4)(y:-4)(z:-4)
start at                                (x:-4)(y:-4)(z:-2)
positive 1 on y                         (x:-4)(y:-3)(z:-2)
positive 1 on z                         (x:-4)(y:-3)(z:-1)
positive 1 on y                         (x:-4)(y:-2)(z:-1)
positive 1 on x                         (x:-3)(y:-2)(z:-1)
positive 1 on z                         (x:-3)(y:-2)(z:0)
positive 1 on x                         (x:-2)(y:-2)(z:0)
positive 1 on y                         (x:-2)(y:-1)(z:0)
positive 1 on x                         (x:-1)(y:-1)(z:0)
positive 1 on z                         (x:-1)(y:-1)(z:1)
positive 1 on x                         (x:0)(y:-1)(z:1)
positive 1 on x                         (x:1)(y:-1)(z:1)
positive 1 on z                         (x:1)(y:-1)(z:2)
positive 1 on z                         (x:1)(y:-1)(z:3)
positive 1 on y                         (x:1)(y:0)(z:3)
positive 1 on x                         (x:2)(y:0)(z:3)
positive 1 on y                         (x:2)(y:1)(z:3)
positive 1 on x                         (x:3)(y:1)(z:3)
positive 1 on y                         (x:3)(y:2)(z:3)
positive 1 on y                         (x:3)(y:3)(z:3)
negative 1 on z                         (x:3)(y:3)(z:2)
negative 1 on z                         (x:3)(y:3)(z:1)
negative 1 on z                         (x:3)(y:3)(z:0)
negative 1 on z                         (x:3)(y:3)(z:-1)
negative 1 on x                         (x:2)(y:3)(z:-1)
negative 1 on y                         (x:2)(y:2)(z:-1)
negative 1 on y                         (x:2)(y:1)(z:-1)
negative 1 on y                         (x:2)(y:0)(z:-1)
negative 1 on z                         (x:2)(y:0)(z:-2)
negative 1 on x                         (x:1)(y:0)(z:-2)
negative 1 on y                         (x:1)(y:-1)(z:-2)
negative 1 on x                         (x:0)(y:-1)(z:-2)
negative 1 on y                         (x:0)(y:-2)(z:-2)
negative 1 on x                         (x:-1)(y:-2)(z:-2)
negative 1 on y                         (x:-1)(y:-3)(z:-2)
negative 1 on x                         (x:-2)(y:-3)(z:-2)
negative 1 on x                         (x:-3)(y:-3)(z:-2)
negative 1 on z                         (x:-3)(y:-3)(z:-3)
negative 1 on x                         (x:-4)(y:-3)(z:-3)
negative 1 on z                         (x:-4)(y:-3)(z:-4)
finish at                               (x:-4)(y:-4)(z:-4)
